work_id,team_hss_dna_pct,_hss_main,year,arxiv_primary_category,log_team_size,log_prior_knowledge,has_any_openalex_metrics,usable_for_composition_analysis,log1p_openalex_matched_reference_count,openalex_reference_field_diversity,openalex_reference_entropy,hss_share_among_matched_refs,cs_share_among_matched_refs
W2558401060,0.0,0.0,2016,cs.CV,1.6094379124341005,4.969813299576001,1,1,3.688879454113936,3.0,0.253067331874179,0.0,0.944444444444444
W2559703163,7.88,7.88,2016,cs.CL,1.791759469228055,4.77912349311153,1,1,2.772588722239781,2.0,0.257318640543831,0.0,0.928571428571428
W2950652153,1.67,1.67,2016,cs.CV,1.3862943611198906,4.820281565605037,1,1,3.9889840465642745,2.0,0.167944147734173,0.0,0.96
W2440017556,0.0,0.0,2016,cs.AI,0.6931471805599453,1.791759469228055,1,1,3.295836866004329,8.0,1.406760455121906,0.12,0.6000000000000001
W2567094983,0.0,0.0,2016,stat.ML,1.3862943611198906,4.442651256490317,1,1,3.1780538303479458,3.0,0.5181862130502121,0.0,0.85
W2559721862,13.21,13.21,2016,cs.CV,1.6094379124341005,3.49650756146648,1,0,0.0,,,,
W2268087754,0.0,0.0,2015,cs.CV,1.0986122886681098,1.9459101490553128,1,1,2.5649493574615367,2.0,0.28683598305616,0.0,0.916666666666666
W2951824707,0.0,0.0,2016,cs.CV,1.791759469228055,5.468060141135132,1,1,3.258096538021482,4.0,0.498758465912882,0.0,0.88
W2289437094,0.0,0.0,2014,cs.AI,1.6094379124341005,2.70805020110221,1,1,1.9459101490553128,2.0,0.5004024235381871,0.2,0.8
W2553233759,39.21,39.21,2016,cs.SI,1.9459101490553128,3.970291913552122,1,1,2.70805020110221,6.0,1.524707393030143,0.384615384615384,0.461538461538461
W579939058,16.67,16.67,2015,stat.ML,1.6094379124341005,2.6390573296152584,1,1,3.5263605246161616,2.0,0.474139313057837,0.0,0.818181818181818
W2469989264,0.0,0.0,2016,cs.CL,1.9459101490553128,6.246106765481563,1,1,3.4339872044851463,1.0,0.0,0.0,1.0
W2540559501,0.0,0.0,2016,cs.CV,1.3862943611198906,2.995732273553991,1,0,0.0,,,,
W4394664408,0.0,0.0,2014,q-bio.QM,1.0986122886681098,1.3862943611198906,1,0,0.0,,,,
