clean_work_id,stage,year,Reference_Count,InternalRef_Total,InternalRef_Matched,InternalRef_HSS_Matched,InternalRef_Coverage,HSS_Reference_Share_Internal_MatchedBase,HSS_Reference_Share_Internal_TotalBase,RefMeta_Total,RefMeta_Matched,RefMeta_Coverage,Mean_Reference_Age,Median_Reference_Age,Recent_Reference_Share_3y,Mean_Log_Ref_Citations,Median_Log_Ref_Citations
W2558647090,Phase1,2016,19,19.0,6.0,2.0,0.3157894736842105,0.3333333333333333,0.10526315789473684,19.0,6.0,0.3157894736842105,0.8,1.0,1.0,6.901815335552443,6.583770655515869
W2554506842,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2951733136,Phase1,2016,31,31.0,7.0,2.0,0.22580645161290322,0.2857142857142857,0.06451612903225806,31.0,7.0,0.22580645161290322,0.8333333333333334,1.0,1.0,7.0118973559487,7.354362330421477
W2302243225,Phase1,2016,7,7.0,0.0,0.0,0.0,,0.0,7.0,0.0,0.0,,,,,
W2950025457,Phase1,2015,29,29.0,0.0,0.0,0.0,,0.0,29.0,0.0,0.0,,,,,
W2572816092,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2196707239,Phase1,2015,34,34.0,5.0,1.0,0.14705882352941177,0.2,0.029411764705882353,34.0,5.0,0.14705882352941177,0.3333333333333333,0.0,1.0,7.281474327687603,7.4127640174265625
W2795910581,Phase1,2016,215,215.0,7.0,6.0,0.03255813953488372,0.8571428571428571,0.027906976744186046,215.0,7.0,0.03255813953488372,0.25,0.0,1.0,6.566465277056609,5.91350300563827
W2564755245,Phase1,2016,18,18.0,1.0,1.0,0.05555555555555555,1.0,0.05555555555555555,18.0,1.0,0.05555555555555555,0.0,0.0,1.0,6.55250788703459,6.55250788703459
W2950671334,Phase1,2016,25,25.0,3.0,3.0,0.12,1.0,0.12,25.0,3.0,0.12,0.5,0.5,1.0,8.243825479675673,8.851377097519439
W2558578635,Phase1,2016,27,27.0,4.0,3.0,0.14814814814814814,0.75,0.1111111111111111,27.0,4.0,0.14814814814814814,0.6666666666666666,1.0,1.0,8.242512649276025,8.132070557473
W284754667,Phase1,2014,2,2.0,1.0,0.0,0.5,0.0,0.0,2.0,1.0,0.5,,,,9.986633133622798,9.986633133622798
W2584667682,Phase1,2016,16,16.0,2.0,1.0,0.125,0.5,0.0625,16.0,2.0,0.125,1.0,1.0,1.0,9.419005115571117,9.419005115571117
W2599043313,Phase1,2016,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W1544557312,Phase1,2014,0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,
W2558687333,Phase1,2016,26,26.0,6.0,2.0,0.23076923076923078,0.3333333333333333,0.07692307692307693,26.0,6.0,0.23076923076923078,0.6,0.0,1.0,6.93843905592734,7.275974261536488
W2294780673,Phase1,2016,30,30.0,1.0,0.0,0.03333333333333333,0.0,0.0,30.0,1.0,0.03333333333333333,,,,9.986633133622798,9.986633133622798
W2951538594,Phase1,2016,53,53.0,2.0,2.0,0.03773584905660377,1.0,0.03773584905660377,53.0,2.0,0.03773584905660377,1.0,1.0,1.0,5.135971417505195,5.135971417505195
